Channel,ChannelLabel,Model,Samples_Per_Class,Run,MinSelectedSamplesPerClass,TotalSelectedTrainingSamples,TrainableParams,Accuracy,MacroF1,TestLoss,BestValAccuracy,BestValLoss,EpochsTrained,InputColumns
3ch,3 channel,LTC-4,40,4,40,400,86,83.49999785423279,83.38681066348842,0.3706120550632477,86.00000143051147,0.3144201934337616,816,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,40,5,40,400,86,79.00000214576721,78.52626212439777,0.443617582321167,81.99999928474426,0.389456570148468,511,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,40,6,40,400,86,88.99999856948853,88.89801868364128,0.3448418080806732,87.00000047683716,0.32634520530700684,920,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,40,7,40,400,86,81.99999928474426,81.88637629896547,0.3802940845489502,85.00000238418579,0.3683091998100281,1163,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,40,8,40,400,86,84.50000286102295,84.24595487009124,0.44530707597732544,83.99999737739563,0.337169349193573,691,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,40,9,40,400,86,88.49999904632568,88.17138477779729,0.4103570878505707,87.00000047683716,0.26637107133865356,1688,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,40,10,40,400,86,82.99999833106995,82.64455884384907,0.4167903959751129,85.00000238418579,0.4153159260749817,760,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,50,1,50,500,86,87.00000047683716,86.94924415065553,0.28550347685813904,89.99999761581421,0.22076620161533356,1549,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,50,2,50,500,86,85.50000190734863,85.54270079891162,0.34485989809036255,86.50000095367432,0.3141597509384155,964,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,50,3,50,500,86,78.50000262260437,77.61953470704935,0.4247795045375824,82.4999988079071,0.3193407654762268,646,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,50,4,50,500,86,89.49999809265137,89.42971131610413,0.40877246856689453,86.50000095367432,0.2962254285812378,1104,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,50,5,50,500,86,86.00000143051147,85.78755859028455,0.3597610890865326,87.5,0.25068873167037964,1156,"Thumb,Middle,Pinky"
