Time_s,Index_ADC,Index_ADC_smoothed
3.44,867,867.1428571428571
3.45,868,867.1428571428571
3.46,867,867.1428571428571
3.47,867,867.1428571428571
3.48,867,867.1428571428571
3.49,867,867.0
3.5,867,867.0
3.51,867,867.0
3.52,867,867.0
3.53,867,867.0
3.54,867,867.0
3.55,867,867.1428571428571
3.56,867,867.1428571428571
3.57,867,867.1428571428571
3.58,868,867.1428571428571
3.59,867,867.1428571428571
3.6,867,867.1428571428571
3.61,867,867.1428571428571
3.62,867,867.0
3.63,867,867.0
3.64,867,867.0
3.65,867,867.0
3.66,867,867.0
3.67,867,867.0
3.68,867,867.0
3.69,867,867.0
3.7,867,867.0
3.71,867,867.0
3.72,867,867.0
3.73,867,867.0
3.74,867,867.0
3.75,867,867.0
3.76,867,867.0
3.77,867,867.0
3.78,867,867.0
3.79,867,867.0
3.8,867,867.0
3.81,867,867.0
3.82,867,867.0
3.83,867,867.0
3.84,867,867.0
3.85,867,867.0
3.86,867,867.0
3.87,867,867.0
3.88,867,867.0
3.89,867,866.8571428571429
3.9,867,866.8571428571429
3.91,867,866.8571428571429
3.92,866,866.8571428571429
3.93,867,866.8571428571429
3.94,867,866.8571428571429
3.95,867,866.8571428571429
3.96,867,867.0
3.97,867,867.0
3.98,867,867.0
3.99,867,867.0
